7,8,10,0,0,"2,1","1,5"
0,6,"4,4",4,0,5,"4,3"
3,7,"8,7","7,6",7,"9,7",10
"3,4","1,3",7,"3,4",0,"9,4",9
6.8,"9,1","8,2",0,0,"7,9","7,9"
7,10,10,9,"9,5",10,8
6,10,"9,7","8,7",7,"8,5","9,7"
0,"9,34","5,7",0,0,0,0
5,10,10,"9,9","10,5",10,9
0,"8,71",8,"9,7",10,"9,5",10
3,"6,88","7,9",0,0,0,0
4,10,10,"9,9","9,7",10,9
0,0,0,0,0,0,0
6,5,10,"9,7",10,10,8
5,10,9,7,"7,9",10,9
0,6,"7,4",0,0,0,0
7,10,10,"9,7",10,10,10
"4,5","8,68",10,"9,5",0,0,0
0,0,0,0,0,0,0
0,"5,61","8,7",0,0,0,0
6,10,10,"9,7",7,10,7
"6,5","8,7","9,5","10,5","9,8",10,10
7,"9,7",10,"8,1",10,10,"9,5"
0,"8,3","9,5","9,5",0,0,0
7,"7,4",9,"7,7",0,"8,8",0
3,"8,71",10,"9,4","10,7",10,9
"3,5","9,34",10,"9,9",10,10,8
